id,roa,stake,luck,blocks,pledge
pool1calq8kjzrvp83l80rtvgmulausl99q4tjfkz2lp227vkymd5wgg,1.816,1341633286024,0.968,0,189879389433
pool1t4zp4wlastva63rqk99k7578e2h3znqdk2arhzuegz6kgj0duc8,3.401,147026517948,1.706,0,52745566328
pool150hft90uw7tzr9uvj7tqkjp4u98a9hl20llj3n9ew76kkfm768r,2.043,1833955412858,1.019,2,366140651101
pool1j8355yxxpfuhqyda4lrj8c9cdghaang3wvwge8jq8nlxurvfqv7,3.394,659699054130,0.964,1,20199200443
pool17r3u34ywld6sehe9dd5t40ygq7rmc6yfw2k0h0hpllznwlmwsnn,1.863,1069303897942,1.077,0,146836419419
pool1drv9qkh2tgqqucc0jp8cwswpmmkfzdd898ja7ac0uwm9j5d44tq,2.207,2235644587582,1.036,4,1064271713527
pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,1.707,1152240406813,1.003,1,303799153982
pool1re8cmjt895tpx8dx2veg0cew5yqtxnt82sll03e433a4ugnh9w7,1.315,337993430564,1.047,0,30833441237
pool1xyx655q6ch4d99fuewwtkdwjx5tvfr0rzqvmwehm2cpzj7e2wgl,1.311,1416632152191,0.923,1,1000379247780
pool1jslaut45plz6ek7grjyzxz6kzgerr7p5204h9sprh3msw6d8yht,1.246,1023852477082,1.064,0,60785084766
pool1c30lqt59t8sjn5lg04r5wk5eucxa5h9cj05xs9gzc8lngl4cmta,2.452,4026860408509,0.873,2,28963129029
pool1qaxrj6n50naglqmzj5puq5sd0awgy9wnqmykpwmcah4vzhndpve,2.461,1022343774479,0.954,0,62164931492
pool1u899yml96tf2cf4zkw4490mnhf832pk6fefnaluvt7487jmqzhg,1.614,1236757081617,0.993,4,484914477932
pool1030as3pp5684ghgf4kzcpv4p2jnmkmme7j363t95690zwxp7wa0,2.656,1364227294235,0.99,1,39437376213
pool19zhl50qqzpfvvhdytqg6qx0cthummjyunfyvkfqx9uxrsp7k8ek,2.136,3266587817732,0.962,2,93182782182
pool10akpqvczl93ep4rc59c0aqyn3dm0env2ydysuwmdm670wl24pd8,3.048,63258715830967,1.004,49,1443129591575
pool1eaeynp2hs06v4x8q65jfm2xqcd3dc80rv220gmxvwg8m5sd6e7a,2.251,774391144365,0.98,1,102232088208
pool1a2gt2mvuf5zvtqlvw2xgks2efze3p4r985ft62q64lua7gx7lal,1.416,2150271506785,1.014,0,119312808865
pool18me06fpnm53xylyg59n8yvhy3xtvjetra3tan5trrvr6yuvm8pd,3.085,209198970574,0.941,0,25675562229
pool1980svf2cxnfy66s5jgjv7y22xud75z9kfe6n0c3y54s62w56435,1.858,1364512970308,0.996,0,250076053957
pool1qhs3cf9ymc2nvmrd2j8cs36cj9jdqgnqk6s9ngyvy2lz5s8rak8,1.623,633567584311,1.022,0,167604803869
pool17xh922cr9skc0fqk7sr8at6xx6eluh5qyv9p7ca2x0mtc3st0mz,1.947,2170294634568,0.94,3,53292007278
pool19f6guwy97mmnxg9dz65rxyj8hq07qxud886hamyu4fgfz7dj9gl,2.934,64154762905424,0.986,37,573298781887
pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,3.055,61371393761209,0.996,35,2725656085237
pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,3.102,64913640677742,0.996,49,500145491031
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,3.119,67648410513390,1.001,54,426165679697
